Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  76.4 m2 
  ASPECT RATIO ....................   8.6    
  WING SWEEP ......................  23.0 deg
  WING THICKNESS RATIO ............  0.11    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.794    
  MEAN AEROD. CHORD ............... 3.235 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00151    |       33.6    |      1.210    |    0.00284    |      0.996    |      0.990    |
 main_wing                            |    0.00718    |      152.7    |      1.249    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00232    |       48.8    |      1.216    |    0.00299    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00031    |        7.0    |      1.185    |    0.00290    |      0.996    |      0.990    |
 fuselage                             |    0.00838    |      280.0    |      1.106    |    0.00207    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00078    |       17.4    |      1.185    |    0.00290    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00137    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02265    |      557.0    |               |               |               |               |


-------------------------------------------
 Thursday, 20. September 2018 10:44:59 PM
