Output file with mission profile breakdown

         FLIGHT PHASE           |   ALTITUDE    |     WEIGHT      |  DIST.  | TIME  |  FUEL  |            SPEED              |
                                | From  |   To  |Initial | Final  |         |       |        |Inicial| Final |Inicial| Final |
                                |   ft  |   ft  |   kg   |   kg   |    nm   |  min  |   kg   | KCAS  | KCAS  |  Mach |  Mach |
                                |       |       |        |        |         |       |        |       |       |       |       |
climb_1                         |      0|   1500|   23388|   23368|        3|    1.2|      20|  170.0|  170.1|  0.257|  0.264|
climb_2                         |   1500|   4000|   23368|   23334|        6|    2.1|      34|  170.1|  170.2|  0.264|  0.277|
climb_3                         |   4000|   7000|   23334|   23291|        9|    2.9|      44|  170.2|  170.4|  0.277|  0.293|
climb_4                         |   7000|  10000|   23291|   23242|       11|    3.4|      49|  170.4|  170.6|  0.293|  0.310|
climb_5                         |  10000|  12000|   23242|   23206|        9|    2.7|      36|  170.6|  170.8|  0.310|  0.322|
climb_6                         |  12000|  14000|   23206|   23165|       11|    3.2|      41|  170.8|  171.0|  0.322|  0.335|
climb_7                         |  14000|  16000|   23165|   23117|       14|    4.0|      48|  171.0|  171.2|  0.335|  0.349|
climb_8                         |  16000|  18000|   23117|   23057|       20|    5.3|      61|  171.2|  171.4|  0.349|  0.364|
climb_9                         |  18000|  19000|   23057|   23020|       13|    3.3|      37|  171.4|  171.5|  0.364|  0.371|
climb_10                        |  19000|  21000|   23020|   22947|       25|    6.7|      73|  168.4|  168.7|  0.365|  0.380|
cruise                          |  21000|  21000|   22947|   22173|      331|   76.5|     774|  189.0|  189.0|  0.425|  0.425|
descent_1                       |  21000|  18000|   22173|   22171|        7|    1.5|       2|  211.4|  221.9|  0.474|  0.468|
descent_2                       |  18000|  10000|   22171|   22165|       18|    4.0|       6|  210.2|  238.0|  0.444|  0.431|
descent_3                       |  10000|     -0|   22165|   22152|       22|    5.0|      13|  224.8|  260.0|  0.407|  0.393|
reserve_climb1                  |     -0|   5000|   22152|   22083|       14|    4.5|      69|  180.0|  167.4|  0.272|  0.277|
reserve_climb2                  |   5000|  10000|   22083|   22006|       18|    5.6|      77|  176.7|  163.8|  0.292|  0.298|
reserve_cruise                  |  10000|  10000|   22006|   21912|       34|    8.4|      94|  209.6|  209.6|  0.380|  0.380|
reserve_loiter                  |  10000|  10000|   21912|   21414|      182|   45.0|     498|  209.6|  209.6|  0.380|  0.380|
reserve_descent_1               |  10000|     -0|   21414|   21398|       34|   12.5|      17|  165.1|  132.3|  0.300|  0.200|


 Total Range (nm) ...........       781
 Total Fuel  (kg) ...........      1990
 Total Time  (hh:mm) ........     03:17


-------------------------------------------
 Wednesday, 26. September 2018 01:26:14 AM
