Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  61.7 m2 
  ASPECT RATIO ....................  12.6    
  WING SWEEP ......................   3.0 deg
  WING THICKNESS RATIO ............  0.15    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.709    
  MEAN AEROD. CHORD ............... 2.281 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00168    |       30.7    |      1.238    |    0.00273    |      0.996    |      0.990    |
 main_wing                            |    0.00834    |      123.4    |      1.450    |    0.00288    |      0.996    |      0.990    |
 turboprop  (EACH)                    |    0.00072    |       13.4    |      1.148    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00154    |       23.5    |      1.331    |    0.00303    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00029    |        5.4    |      1.148    |    0.00288    |      0.996    |      0.990    |
 fuselage                             |    0.00720    |      200.0    |      1.112    |    0.00200    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00133    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00614    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02796    |      409.8    |               |               |               |               |


-------------------------------------------
 Wednesday, 26. September 2018 09:07:14 PM
