Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  72.7 m2 
  ASPECT RATIO ....................   8.6    
  WING SWEEP ......................  24.2 deg
  WING THICKNESS RATIO ............  0.11    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.791    
  MEAN AEROD. CHORD ............... 3.157 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00151    |       32.0    |      1.210    |    0.00284    |      0.996    |      0.990    |
 main_wing                            |    0.00715    |      145.4    |      1.244    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00232    |       46.5    |      1.216    |    0.00299    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00033    |        7.0    |      1.185    |    0.00288    |      0.996    |      0.990    |
 fuselage                             |    0.00877    |      280.0    |      1.106    |    0.00206    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00082    |       17.5    |      1.185    |    0.00288    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00141    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02315    |      546.0    |               |               |               |               |


-------------------------------------------
 Friday, 21. September 2018 10:54:40 AM
