Output file with parasite drag breakdown

  VEHICLE TAG : cruise

  REFERENCE AREA ..................  72.5 m2 
  ASPECT RATIO ....................   9.8    
  WING SWEEP ......................  23.5 deg
  WING THICKNESS RATIO ............  0.12    
  INDUCED DRAG EFFICIENCY FACTOR .. 0.771    
  MEAN AEROD. CHORD ............... 2.945 m 
  REYNOLDS NUMBER .................  12.0 millions
  MACH NUMBER ..................... 0.300    


            COMPONENT                 |      CDO      |  WETTED AREA  |  FORM FACTOR  | FLAT PLATE CF.| REYNOLDS FACT.| COMPRES. FACT.|
                                      |      [-]      |      [m2]     |      [-]      |      [-]      |      [-]      |      [-]      |
                                      |               |               |               |               |               |               |
 vertical_stabilizer                  |    0.00150    |       31.9    |      1.210    |    0.00281    |      0.996    |      0.990    |
 main_wing                            |    0.00729    |      144.9    |      1.267    |    0.00288    |      0.996    |      0.990    |
 horizontal_stabilizer                |    0.00230    |       46.3    |      1.216    |    0.00295    |      0.996    |      0.990    |
 Pylon (TOTAL)                        |    0.00033    |        7.0    |      1.185    |    0.00285    |      0.996    |      0.990    |
 fuselage                             |    0.00872    |      280.0    |      1.106    |    0.00204    |      0.996    |      0.990    |
 turbofan  (EACH)                     |    0.00082    |       17.5    |      1.185    |    0.00285    |      0.996    |      0.990    |
 Miscellaneous Drag                   |    0.00142    |        -      |        -      |        -      |        -      |        -      |
 Drag Coefficient Increment           |    0.00000    |        -      |        -      |        -      |        -      |        -      |
                                      |               |               |               |               |               |               |
                             SUM 	  |    0.02318    |      545.3    |               |               |               |               |


-------------------------------------------
 Monday, 24. September 2018 09:51:16 AM
